"param","mean","sd","lower","upper","n_effective","rhat"
"intercept",4.0506993968606,0.0148656320151151,4.02048301696777,4.07846736907959,769.840972900391,1.00212430953979
"depends",1.33510965712667,0.0718445601866705,1.19616866111755,1.47376608848572,205.761589050293,1.00438237190247
"imports",2.89526330220699,0.120673633247148,2.66022324562073,3.12989449501038,3358.13708496094,1.00026607513428
"doc_size",6.19324416294098,0.391461026596782,5.4117283821106,6.95209121704102,1765.59375,1.00082099437714
"r_size",2.93822478364706,0.264196611761029,2.43115329742432,3.46031856536865,3021.21173095703,1.00092530250549
"ns_import",1.53113245857507,0.267957106475174,0.997994542121887,2.04963850975037,3751.150390625,1.00017333030701
"ns_export",-0.274885101813186,0.658526079968045,-1.5579400062561,0.990606129169464,527.893432617188,1.00460839271545
