"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",4.04891603446473,0.0173196562099919,233.775773916855,0,NA,NA
"depends",0.107420663620218,0.006974885753027,15.4010642502064,1.60997636903041e-53,NA,NA
"imports",0.0683265977404565,0.00329722280404461,20.7224691205709,2.17253646870512e-95,NA,NA
"doc_size",7.78129668097532,0.542104800480099,14.3538604972397,1.00768170767561e-46,NA,NA
"r_size",0.846089894483266,0.0875826008969089,9.66047920270347,4.4378316780117e-22,NA,NA
"ns_import",0.0040968379102479,0.00102623720631843,3.99209645199387,6.5491722924297e-05,NA,NA
"ns_export",-0.000280173566309739,0.000365152260825053,-0.767278739221534,0.442915806417685,NA,NA
