"param","mean","sd","lower","upper","n_effective","rhat"
"intercept",4.05303480887413,0.0151786805342907,4.02416181564331,4.08319091796875,505.465701341629,1.67877554893494
"depends",1.32297038605809,0.0592539056492715,1.20952546596527,1.42286992073059,11.1859494447708,2.93366360664368
"imports",2.89599539983273,0.111339945823837,2.67555689811707,3.10452580451965,1000,1.01234579086304
"doc_size",6.18778537976742,0.3900252290916,5.46050930023193,6.97233295440674,1000,1.00059592723846
"r_size",2.93768110406399,0.246846818375026,2.48089742660522,3.42901587486267,1000,1.0003308057785
"ns_import",1.53485451291502,0.219728232499178,1.14242398738861,1.95466768741608,1000,1.00032019615173
"ns_export",-0.285460984049219,0.647253654289589,-1.61841905117035,0.948536455631256,585.98348236084,1.00238513946533
